1,Chatham Street
2,Blessington Street
3,Bolton Street
4,Greek Street
5,Charlemont Street
6,Christchurch Place
7,High Street
8,Custom House Quay
9,Exchequer Street
10,Dame Street
11,Earlsfort Terrace
12,Eccles Street
13,Fitzwilliam Square West
14,Fownes Street Upper
15,Hardwicke Street
16,Georges Quay
17,Golden Lane
18,Grantham Street
19,Herbert Place
20,James Street East
21,Leinster Street South
23,Custom House
24,Cathal Brugha Street
25,Merrion Square East
26,Merrion Square West
40,Jervis Street
41,Harcourt Terrace
45,Deverell Place
47,Herbert Street
48,Excise Walk
49,Guild Street
54,Clonmel Street
55,Hatch Street
57,Grattan Street
59,Denmark Street Great
61,Hardwicke Place
62,Lime Street
63,Fenian Street
65,Convention Centre
68,Hanover Quay
69,Grand Canal Dock
70,Barrow Street
71,Kevin Street
72,John Street West
73,Francis Street
75,James Street
76,Market Street South
78,Mater Hospital
79,Eccles Street East
84,Brookfield Road
87,Collins Barracks Museum
88,Blackhall Place
89,Fitzwilliam Square East
90,Benson Street
92,Heuston Bridge (North)
93,Heuston Station (Central)
94,Heuston Station (Car Park)
97,Kilmainham Gaol
99,City Quay
100,Heuston Bridge (South)
101,King Street North
